Number of Nodes,Density (%),Key Comparisons,CPU Time (us)
500,5,20244,622288
500,10,27981,921478
500,15,32786,1203093
500,20,38723,2042907
500,25,42892,2156794
500,30,46898,2768806
500,35,50822,3114090
500,40,52852,3536127
500,45,56347,3417469
500,50,61861,4177819
500,55,64301,5089368
500,60,69474,6104446
500,65,71090,6250968
500,70,74410,6479984
500,75,76411,6509084
500,80,81252,6509209
500,85,85269,7373598
500,90,87788,7766723
500,95,90190,7614180
500,100,93763,8326913
1000,5,62462,2515650
1000,10,82186,4443372
1000,15,100265,6209156
1000,20,112804,7456117
1000,25,126816,9783915
1000,30,140575,11594170
1000,35,155017,12815605
1000,40,170372,13442035
1000,45,181478,15877604
1000,50,196065,17681120
1000,55,207986,22796689
1000,60,220391,23855268
1000,65,231821,24996108
1000,70,244199,24525912
1000,75,261106,26018708
1000,80,273385,27884914
1000,85,289142,29528365
1000,90,301382,48854651
1000,95,316339,34121435
1000,100,322388,33992570
10000,5,2157173,183528935
10000,10,3524184,351497245
10000,15,4730902,538127372
10000,20,5983667,708169171
10000,25,7357873,870118017
10000,30,8952535,1051415820
10000,35,10400991,1231439784
10000,40,11825791,1466416779
10000,45,12895867,1594721591
10000,50,14152542,1993217650
