Number of Nodes,Density (%),Key Comparisons,CPU Time (us)
500,10,129403,2534604
500,20,133059,3046283
500,30,136284,3529700
500,40,139864,2500760
500,50,142582,2189246
500,60,145806,2694143
500,70,149215,4400347
500,80,152720,2506652
500,90,155771,3238547
500,100,158960,3239145
500,110,161489,3168628
500,120,164650,3889388
500,130,167911,4831372
500,140,171135,4920404
500,150,173895,4573972
500,160,176965,4238309
500,170,180229,4909690
500,180,182792,5485313
500,190,186413,5789976
500,200,189584,6291015
1000,10,516192,9218390
1000,20,529136,8574345
1000,30,542337,9787236
1000,40,554752,10834653
1000,50,568038,12346708
1000,60,579420,13074807
1000,70,594062,17122170
1000,80,606074,17134723
1000,90,616503,17247542
1000,100,630755,17914352
1000,110,642606,21207946
1000,120,654630,19028847
1000,130,667402,20509763
1000,140,680031,20726761
1000,150,692211,28103180
1000,160,704157,29264653
1000,170,717029,25678588
1000,180,730080,24190511
1000,190,741280,25318546
1000,200,754434,28837654
10000,10,51327313,861167287
10000,20,52592111,813296178
10000,30,53826497,885252558
10000,40,55083988,944304469
10000,50,56320407,1032494723
10000,60,57570671,1129863263
10000,70,58820265,1239215025
10000,80,60058340,1301086091
10000,90,61318049,1414423133
10000,100,62568100,1266940978
10000,110,63811715,1296913736
10000,120,65052470,1402228275
10000,130,66307178,1500080231
10000,140,67554610,1545014809
10000,150,68823360,1650444262
10000,160,70057655,1768969154
10000,170,71310633,2056176612
10000,180,72553841,1868304324
10000,190,73805806,1928898312
10000,200,75056757,1947826488
