Number of Nodes,Average Key Comparisons,Average CPU Time (us)
500,125748,1522
600,180898,3332
700,246048,3480
800,321198,4073
900,406348,5343
1000,501498,7229
1100,606648,9043
1200,721798,11575
1300,846948,13830
1400,982098,15497
1500,1127248,17536
1600,1282398,20412
1700,1447548,23017
1800,1622698,28834
1900,1807848,29536
2000,2002998,31812
2100,2208148,35260
2200,2423298,38129
2300,2648448,41964
2400,2883598,48061
2500,3128748,49233
2600,3383898,61335
2700,3649048,72330
2800,3924198,65260
2900,4209348,77688
3000,4504498,74263
3100,4809648,79609
3200,5124798,91574
3300,5449948,94015
3400,5785098,94721
3500,6130248,109450
3600,6485398,109995
3700,6850548,126837
3800,7225698,131625
3900,7610848,120539
4000,8005998,128169
4100,8411148,148629
4200,8826298,138730
4300,9251448,179229
4400,9686598,165023
4500,10131748,166778
4600,10586898,196727
4700,11052048,204800
4800,11527198,197177
4900,12012348,211729
5000,12507498,206824
5100,13012648,204009
5200,13527798,228051
5300,14052948,267270
5400,14588098,271106
5500,15133248,262036
5600,15688398,256749
5700,16253548,258353
5800,16828698,279290
5900,17413848,296143
6000,18008998,281956
6100,18614148,297279
6200,19229298,332756
6300,19854448,320459
6400,20489598,330164
6500,21134748,337378
6600,21789898,385436
6700,22455048,395888
6800,23130198,413211
6900,23815348,402442
7000,24510498,411547
7100,25215648,454014
7200,25930798,441575
7300,26655948,476572
7400,27391098,519768
7500,28136248,481208
7600,28891398,516066
7700,29656548,518713
7800,30431698,540523
7900,31216848,536109
8000,32011998,535750
8100,32817148,653836
8200,33632298,568578
8300,34457448,584288
8400,35292598,630168
8500,36137748,586653
8600,36992898,618323
8700,37858048,649352
8800,38733198,628518
8900,39618348,629137
9000,40513498,624675
9100,41418648,649276
9200,42333798,648916
9300,43258948,660884
9400,44194098,687505
9500,45139248,693057
9600,46094398,733692
9700,47059548,723992
9800,48034698,823966
9900,49019848,915135
10000,50014998,811188
