Number of Nodes,Density (%),Average Key Comparisons,Average CPU Time (us),Edges
500,5,3218,285,12475
500,10,4068,573,24950
500,15,5543,1116,37425
500,20,7643,1476,49900
500,25,10368,1991,62375
500,30,13718,1682,74850
500,35,17693,2032,87325
500,40,22293,2258,99800
500,45,27518,2386,112275
500,50,33368,2697,124750
500,55,39891,3576,137225
500,60,47041,3177,149700
500,65,54816,3641,162175
500,70,63216,4130,174650
500,75,72241,3828,187125
500,80,81891,4137,199600
500,85,92166,4707,212075
500,90,103066,4581,224550
500,95,114591,5996,237025
500,100,126740,5223,249500
1000,5,7068,1062,49950
1000,10,10643,2143,99900
1000,15,16718,2993,149850
1000,20,25293,4046,199800
1000,25,36368,5030,249750
1000,30,49943,5950,299700
1000,35,66018,6993,349650
1000,40,84593,8081,399600
1000,45,105668,9109,449550
1000,50,129243,9887,499500
1000,55,155416,11228,549450
1000,60,184091,12356,599400
1000,65,215266,12927,649350
1000,70,248941,14083,699300
1000,75,285116,15200,749250
1000,80,323791,16389,799200
1000,85,364966,17211,849150
1000,90,408641,18159,899100
1000,95,454816,19121,949050
1000,100,503490,20996,999000
10000,5,183243,99779,4999500
10000,10,556493,213424,9999000
10000,15,1179743,312690,14998500
10000,20,2052993,416316,19998000
10000,25,3176243,540339,24997500
10000,30,4549493,633975,29997000
10000,35,6172743,804190,34996500
10000,40,8045993,831909,39996000
10000,45,10169243,942330,44995500
10000,50,12542493,1071284,49995000
10000,55,15166741,1186114,54994500
10000,60,18040991,1424702,59994000
10000,65,21165241,1855422,64993500
10000,70,24539491,1882069,69993000
10000,75,28163741,2035499,74992500
10000,80,32037991,1942373,79992000
10000,85,36162241,1972785,84991500
10000,90,40536491,2397836,89991000
10000,95,45160741,2272370,94990500
10000,100,50034990,2190622,99990000
