Number of Nodes,Key Comparisons,CPU Time (us)
500,934,57728
600,10,5881
700,314,48077
800,142,16472
900,1142,62405
1000,1032,60074
1100,1784,92339
1200,1678,128527
1300,396,30895
1400,626,43778
1500,1200,81835
1600,1486,141877
1700,2416,162748
1800,934,83762
1900,1558,94654
2000,910,75129
2100,3526,242608
2200,2098,137858
2300,2738,243502
2400,856,118834
2500,4610,329723
2600,256,24486
2700,42,46955
2800,1432,86269
2900,3546,204428
3000,2942,166535
3100,5574,425783
3200,4826,324141
3300,6006,377432
3400,2824,182123
3500,1938,137065
3600,6648,501113
3700,5682,369205
3800,6128,376532
3900,1500,154299
4000,5876,551554
4100,6380,397092
4200,6872,352090
4300,4176,185942
4400,3634,215759
4500,5620,300678
4600,900,81091
4700,8484,495418
4800,5398,303014
4900,5598,310089
5000,7800,602400
5100,3978,231180
5200,9850,636130
5300,734,83984
5400,9782,721061
5500,3068,428117
5600,9446,679233
5700,8888,598595
5800,5988,363322
5900,2132,174541
6000,10966,971625
6100,86,34449
6200,6814,613744
6300,2278,259152
6400,8780,836104
6500,2682,348337
6600,3446,328159
6700,5814,495370
6800,6588,509208
6900,3642,264608
7000,320,46657
7100,1210,78162
7200,9236,758468
7300,11350,680181
7400,952,77473
7500,9460,532166
7600,13266,1034516
7700,2514,289892
7800,4636,278218
7900,420,59636
8000,3456,231823
8100,13940,832999
8200,674,66442
8300,8766,569118
8400,4844,326289
8500,9058,578342
8600,5676,389283
8700,3660,257542
8800,2748,211305
8900,14848,958996
9000,7718,522047
9100,2446,189209
9200,10808,800122
9300,6816,513616
9400,7100,495761
9500,3740,327489
9600,6316,454376
9700,12674,866975
9800,2360,204515
9900,2794,224067
10000,10026,710053
