Number of Nodes,Density (%),Key Comparisons (Array),Key Comparisons (Min Heap),CPU Time (us)
500,10,657741,28482,10193
500,20,895871,38613,14361
500,30,925172,44224,17787
500,40,1083748,51966,22420
500,50,1134460,57635,26029
500,60,1186172,63605,28193
500,70,1132907,68039,29500
500,80,1193927,72528,31431
500,90,1258804,76941,33335
500,100,1235416,80208,34659
1000,10,3562899,83064,47276
1000,20,4185182,112753,61839
1000,30,4458165,137684,72825
1000,40,4869677,161208,91554
1000,50,5034397,181528,98963
1000,60,5084645,201609,108596
1000,70,5107739,220216,118995
1000,80,5338259,236565,130055
1000,90,5239250,249189,141093
1000,100,5126337,271589,143438
10000,10,527292836,3490571,6197106
10000,20,532094366,5771004,6816130
10000,30,519792253,8272395,8075608
10000,40,537138030,10794482,9700822
10000,50,6502,4334,127907
10000,60,9910,6606,188238
10000,70,27433,18288,508610
10000,80,22531,15020,416144
10000,90,483012951,1936543,5034500
10000,100,555924808,4379658,7308475
