Number of Nodes,Key Comparisons (Array),Key Comparisons (Min Heap),CPU Time Array (us),CPU Time MinHeap (us)
500,439,292,206,196
600,802,534,440,421
700,529,352,333,329
800,1690,1126,1210,1186
900,2629,1752,2099,2063
1000,2005,1336,2061,1755
1100,1273,848,1273,1203
1200,724,482,752,754
1300,3697,2464,4153,4191
1400,2347,1564,2874,2902
1500,1297,864,1702,1719
1600,4348,2898,6570,6252
1700,1030,686,1513,1760
1800,4459,2972,7092,7209
1900,793,528,1517,1356
2000,3916,2610,7275,7195
2100,3154,2102,5996,6388
2200,2365,1576,4726,4703
2300,6769,4512,14124,14278
2400,3256,2170,7001,7033
2500,2128,1418,5063,4772
2600,6160,4106,14624,14649
2700,7087,4724,17498,17772
2800,847,564,2127,2126
2900,5356,3570,14257,14464
3000,3583,2388,9865,10054
3100,7819,5212,22150,22323
3200,319,212,955,920
3300,8845,5896,26470,26262
3400,2653,1768,8000,8210
3500,724,482,2715,2323
3600,46,30,173,179
3700,3784,2522,12835,12797
3800,4720,3146,16303,16101
3900,7840,5226,28061,28919
4000,4012,2674,27346,20670
4100,8035,5356,32882,31986
4200,5875,3916,22867,21923
4300,8623,5748,35182,34676
4400,8713,5808,35887,35416
4500,5206,3470,21340,21285
4600,3070,2046,12876,13019
4700,2017,1344,8757,8885
4800,10720,7146,47331,52035
4900,2947,1964,15617,16402
5000,1720,1146,10402,10741
5100,4825,3216,28158,27337
5200,5476,3650,29684,28353
5300,670,446,3888,3931
5400,10810,7206,60514,57186
5500,1489,992,7861,8010
5600,13804,9202,83288,87541
5700,15829,10552,89496,86266
5800,15460,10306,85055,87216
5900,16420,10946,89720,90510
6000,2233,1488,12659,12492
6100,12877,8584,75935,79261
6200,13276,8850,83316,89389
6300,2341,1560,16592,16185
6400,1774,1182,11719,11585
6500,10261,6840,76388,71890
6600,1582,1054,10615,10529
6700,4681,3120,32942,31631
6800,7690,5126,51610,51718
6900,18595,12396,126168,140505
7000,12418,8278,105660,106042
7100,20902,13934,162003,165081
7200,20674,13782,158666,157386
7300,3568,2378,28388,28640
7400,17374,11582,132766,133263
7500,97,64,806,759
7600,490,326,3856,3998
7700,21082,14054,170603,173625
7800,6688,4458,57086,53336
7900,20017,13344,165408,168859
8000,22798,15198,195480,193761
8100,538,358,4602,4459
8200,16840,11226,138536,136479
8300,13858,9238,111309,107922
8400,18922,12614,151263,148672
8500,7219,4812,57928,57371
8600,4456,2970,35901,35971
8700,20632,13754,164657,176604
8800,2671,1780,21270,21604
8900,1273,848,10649,10366
9000,5380,3586,43837,43048
9100,6937,4624,57089,57350
9200,27451,18300,223263,225610
9300,25462,16974,215839,216272
9400,12955,8636,111031,112296
9500,3268,2178,27447,27488
9600,19096,12730,166797,167696
9700,5821,3880,51145,50319
9800,2191,1460,19109,19045
9900,26584,17722,247020,249657
10000,520,346,4725,4754
