Array Size,Top Down Time (us),Bottom Up Time (us)
10,7,6
20,33,11
30,28,19
40,27,21
50,31,16
60,29,20
70,17,13
80,27,22
90,31,24
100,33,196
110,145,81
120,24,20
130,44,35
140,28,23
150,182,95
160,122,105
170,130,115
180,102,87
190,88,73
200,96,80
210,37,30
220,262,285
230,67,87
240,219,187
250,546,183
260,141,133
270,78,78
280,114,100
290,168,122
300,222,146
310,346,260
320,308,235
330,273,244
340,272,182
350,81,75
360,344,297
370,245,222
380,223,169
390,198,163
400,176,130
410,372,309
420,539,383
430,247,184
440,698,725
450,295,255
460,258,261
470,121,124
480,182,130
490,113,101
500,244,193
510,779,643
520,502,377
530,351,348
540,380,299
550,233,150
560,413,346
570,484,314
580,382,245
590,646,426
600,1569,578
610,782,516
620,571,264
630,388,302
640,137,123
650,226,195
660,389,278
670,568,421
680,547,518
690,305,240
700,658,551
710,1099,914
720,144,131
730,1162,1018
740,1023,472
750,583,406
760,599,265
770,559,527
780,997,1045
790,510,492
800,435,266
810,1086,445
820,678,527
830,171,156
840,807,482
850,256,195
860,313,222
870,310,284
880,1040,628
890,1090,226
900,1674,760
910,466,452
920,859,589
930,627,508
940,730,762
950,442,460
960,171,186
970,432,210
980,598,566
990,986,794
1000,148,109
1010,683,609
1020,928,677
1030,298,225
1040,365,445
1050,496,417
1060,272,312
1070,328,283
1080,658,600
1090,1302,671
1100,606,494
1110,553,398
1120,718,542
1130,1078,925
1140,1544,855
1150,1015,917
1160,583,506
1170,1031,688
1180,110,128
1190,663,802
1200,1007,906
1210,256,222
1220,269,178
1230,419,339
1240,381,434
1250,1305,1138
1260,1497,624
1270,212,211
1280,610,479
1290,1776,931
1300,1463,1538
1310,710,552
1320,928,849
1330,553,517
1340,1574,729
1350,512,472
1360,1337,898
1370,846,731
1380,1227,1182
1390,978,1126
1400,220,146
1410,1719,1021
1420,287,258
1430,438,415
1440,695,472
1450,982,702
1460,1062,698
1470,242,342
1480,364,284
1490,717,481
1500,561,424
1510,1183,864
1520,430,315
1530,1220,881
1540,1933,1076
1550,2230,1105
1560,1009,770
1570,561,484
1580,628,545
1590,545,439
1600,1723,1426
1610,1810,1459
1620,1890,866
1630,2519,2212
1640,546,375
1650,1554,910
1660,520,423
1670,1015,942
1680,1028,1228
1690,1823,846
1700,796,726
1710,417,370
1720,1186,1326
1730,1284,739
1740,2166,1307
1750,602,448
1760,1513,943
1770,1816,1925
1780,1447,586
1790,1299,896
1800,1078,788
1810,527,480
1820,623,658
1830,3025,1281
1840,298,252
1850,848,889
1860,1468,1506
1870,482,351
1880,2089,1532
1890,1583,977
1900,971,739
1910,666,573
1920,1551,1956
1930,1463,975
1940,405,352
1950,550,592
1960,3102,2152
1970,2164,1386
1980,810,644
1990,1329,1093
2000,1704,1851
2010,1122,682
2020,1109,748
2030,1328,1149
2040,437,379
2050,1686,1375
2060,604,464
2070,857,753
2080,1594,878
2090,476,434
2100,4082,2818
2110,373,243
2120,1710,1472
2130,616,483
2140,1922,2036
2150,1027,418
2160,1354,1200
2170,2413,2095
2180,1246,832
2190,856,559
2200,1346,1221
2210,308,242
2220,602,503
2230,1020,662
2240,2635,1314
2250,1093,876
2260,2127,2413
2270,550,2028
2280,594,463
2290,203,212
2300,1338,1163
2310,2672,1425
2320,2331,1550
2330,2090,2066
2340,634,307
2350,2784,1323
2360,1979,1474
2370,499,461
2380,1199,951
2390,2922,1410
2400,538,412
2410,1483,2007
2420,3495,1710
2430,1383,1319
2440,2062,1921
2450,1683,700
2460,371,307
2470,2157,1353
2480,3349,2356
2490,1581,1321
2500,1257,1210
2510,313,305
2520,1549,754
2530,2901,1658
2540,2286,2310
2550,1361,1430
2560,1916,1329
2570,994,540
2580,1002,1131
2590,1175,2584
2600,819,805
2610,2046,1835
2620,4002,2085
2630,1278,1077
2640,1933,1922
2650,2204,1154
2660,2799,2097
2670,2282,1348
2680,4271,2620
2690,1816,1297
2700,2270,1503
2710,800,498
2720,1033,829
2730,991,1062
2740,2152,1955
2750,1113,624
2760,1725,1866
2770,1498,1120
2780,1063,1105
2790,1210,1133
2800,3737,2504
2810,640,486
2820,2105,2315
2830,1733,1335
2840,1917,1035
2850,661,483
2860,2276,1376
2870,1725,1126
2880,3063,2224
2890,4565,2373
2900,1096,856
2910,1847,1430
2920,1656,1391
2930,3020,2223
2940,3139,2371
2950,2080,1622
2960,3204,2638
2970,1472,1177
2980,1994,1601
2990,3148,2403
3000,1259,1123
3010,839,878
3020,4196,2337
3030,2917,3218
3040,2304,1508
3050,425,339
3060,357,383
3070,1620,1576
3080,3483,2054
3090,2994,2262
3100,1299,1079
3110,2206,1952
3120,1041,982
3130,2346,1437
3140,1968,1191
3150,504,420
3160,2518,3749
3170,2071,1418
3180,473,393
3190,2148,2434
3200,4353,2938
3210,3904,3118
3220,388,307
3230,1382,1101
3240,1811,2245
3250,1642,1482
3260,1498,1041
3270,1226,860
3280,2296,1247
3290,2500,1436
3300,966,1582
3310,800,901
3320,2638,2201
3330,1638,1118
3340,1816,1345
3350,2734,1855
3360,805,667
3370,3219,2560
3380,973,1002
3390,2923,3231
3400,4771,2213
3410,793,761
3420,1385,746
3430,5609,2509
3440,5407,2305
3450,581,507
3460,4039,3359
3470,1661,1425
3480,3046,2320
3490,558,472
3500,4272,3640
3510,3044,1828
3520,685,595
3530,3953,2942
3540,2520,2353
3550,1034,1101
3560,884,846
3570,700,545
3580,1190,1061
3590,976,945
3600,5001,2296
3610,1230,1024
3620,2339,2946
3630,2711,2037
3640,1442,2098
3650,4207,2841
3660,610,456
3670,3790,1603
3680,1000,632
3690,2301,2454
3700,3856,1979
3710,3492,3580
3720,3338,2237
3730,2586,2639
3740,2406,2431
3750,2916,2184
3760,2289,1530
3770,5742,3295
3780,861,968
3790,1970,2267
3800,5761,3706
3810,1887,1280
3820,2719,1677
3830,2646,1872
3840,1308,1087
3850,1913,2378
3860,828,893
3870,1634,897
3880,5574,4571
3890,775,553
3900,2309,1937
3910,3116,3222
3920,4826,3324
3930,3551,2519
3940,1436,1015
3950,1302,1340
3960,4381,2781
3970,5592,3436
3980,5219,3388
3990,645,792
4000,3155,2178
4010,3461,1793
4020,1084,1305
4030,5893,3489
4040,2568,2144
4050,820,507
4060,2594,2550
4070,896,1042
4080,3361,1746
4090,409,457
4100,4463,3861
4110,562,504
4120,738,788
4130,1284,912
4140,2562,1936
4150,872,721
4160,661,623
4170,3214,3879
4180,4434,2438
4190,1361,1227
4200,4159,2173
4210,3309,2504
4220,4950,3931
4230,3762,4040
4240,2216,1667
4250,3531,4380
4260,2922,2158
4270,412,479
4280,2377,1478
4290,2663,1910
4300,2780,2622
4310,3549,2968
4320,5540,2846
4330,2958,2850
4340,3945,1775
4350,4651,2353
4360,1852,1853
4370,5444,2701
4380,4820,4346
4390,3302,3369
4400,5429,3319
4410,4845,2367
4420,3903,3161
4430,4897,3228
4440,4820,2575
4450,2477,3175
4460,3739,3605
4470,2959,1335
4480,4329,3968
4490,3798,3500
4500,5311,2641
4510,4061,4132
4520,3978,3777
4530,1707,1025
4540,3779,3846
4550,1669,1510
4560,3924,4030
4570,4720,4209
4580,4482,2458
4590,5775,3375
4600,4067,4188
4610,2508,2396
4620,5917,3193
4630,1636,2436
4640,1986,1215
4650,2345,1833
4660,2229,1688
4670,4020,2434
4680,1752,1437
4690,5188,3241
4700,1052,1060
4710,2252,966
4720,3100,2918
4730,536,479
4740,3712,4109
4750,2699,1446
4760,2575,1913
4770,5848,3022
4780,2664,3033
4790,1854,1227
4800,1654,1423
4810,1475,1564
4820,6211,4872
4830,5234,3304
4840,5369,2876
4850,669,850
4860,3962,2667
4870,2030,2027
4880,4213,2089
4890,2160,2006
4900,3919,2162
4910,4501,3093
4920,1559,1215
4930,4677,3782
4940,4392,4056
4950,1629,1325
4960,1203,704
4970,2012,1070
4980,1005,788
4990,3132,1585
5000,4630,2729
5010,3578,3824
5020,3937,2307
5030,6764,3928
5040,4105,3523
5050,3220,3732
5060,2854,1799
5070,1315,1072
5080,5716,2792
5090,2226,3367
5100,3400,3301
5110,6302,3200
5120,2963,2901
5130,3270,2332
5140,6587,3403
5150,1824,2535
5160,3232,2530
5170,1412,1631
5180,3215,1996
5190,6114,4508
5200,4349,4118
5210,527,567
5220,558,594
5230,2219,2521
5240,5291,3584
5250,1093,1183
5260,1397,1094
5270,6057,5062
5280,5805,4768
5290,9589,6781
5300,1392,1076
5310,6525,4682
5320,7285,5619
5330,4203,4088
5340,727,593
5350,3193,3684
5360,7892,6679
5370,1463,1183
5380,2505,2366
5390,1325,1155
5400,1681,1445
5410,1157,866
5420,4990,3878
5430,3290,1744
5440,3298,3835
5450,4202,2987
5460,2924,2501
5470,3766,3966
5480,1496,1752
5490,7465,4767
5500,2563,2487
5510,3787,2370
5520,1858,1875
5530,3823,1839
5540,8762,4845
5550,6868,2935
5560,5069,3996
5570,878,718
5580,8837,4701
5590,3597,1769
