sampleSize,timing,keycomp
1000,228053,35330
6000,1615937,320153
11000,3099487,546805
16000,6385692,626627
21000,10447965,1022784
26000,9181318,885986
31000,8158083,1213113
36000,13220786,1584174
41000,14262078,2000667
46000,26947132,2459125
51000,30191608,2984822
56000,16025223,2075981
61000,17069133,2408549
66000,21707377,2778232
71000,25965459,3153779
76000,32511224,3561746
81000,34760636,3987349
86000,32839512,4441144
91000,39164387,4948246
96000,38444239,5410773
101000,38475737,5968896
106000,33230590,3880416
111000,38050692,4193930
116000,39068518,4533205
121000,47709755,4873197
126000,41704147,5225069
131000,57535327,5598944
136000,44718255,5965472
141000,52579636,6374521
146000,60573371,6768176
151000,55999924,7196243
156000,58634018,7623733
161000,62581932,8058714
166000,65693904,8503717
171000,60693724,8980301
176000,68629825,9456115
181000,89174059,9920718
186000,72634115,10434212
191000,75858557,10966627
196000,81739685,11459379
201000,87291601,12032003
206000,71920156,7602680
211000,79653833,7913445
216000,80952814,8220483
221000,84420665,8549908
226000,84228887,8881467
231000,83047719,9232044
236000,92928600,9560294
241000,86557031,9905692
246000,88444621,10260780
251000,85575062,10632163
256000,124080898,11016840
261000,115102734,11374750
266000,98738704,11762138
271000,103727802,12135676
276000,112371446,12537686
281000,125340443,12937265
286000,107975325,13335783
291000,119521139,13741066
296000,111913358,14188472
301000,122941169,14586450
306000,120115327,14980286
311000,134908520,15458347
316000,124447202,15901795
321000,113589067,16318821
326000,125632249,16786277
331000,140844988,17230357
336000,142093884,17718398
341000,169841288,18201381
346000,163421122,18665161
351000,149191252,19148950
356000,189883111,19645388
361000,174370523,20133018
366000,202845034,20643378
371000,184196337,21159107
376000,196409072,21692547
381000,193234113,22190556
386000,208535138,22732238
391000,211745634,23264019
396000,217931152,23813307
401000,207653522,24338945
406000,230515607,24882270
411000,191798980,18664833
416000,164509135,15848922
421000,159155700,16170953
426000,147320004,16487555
431000,157513170,16832607
436000,173278839,17134552
441000,179374669,17454936
446000,190896513,17842570
451000,171746156,18148001
456000,163957226,18480156
461000,199144190,18810560
466000,151301965,19177110
471000,170299922,19517283
476000,201580276,19874326
481000,203871004,20242849
486000,182896791,20595568
491000,163622865,20936022
496000,172897750,21335032
501000,190574095,21700638
506000,178795401,22049603
511000,167844504,22410751
516000,183318477,22824535
521000,173041175,23179532
526000,220505707,23580004
531000,218291508,23979920
536000,198333274,24357879
541000,197295324,24731277
546000,197439318,25155233
551000,224466535,25567368
556000,224298667,25952630
561000,223576877,26367410
566000,202909376,26735872
571000,199318713,27161393
576000,240880487,27572530
581000,226960559,27971648
586000,207174240,28390301
591000,220135879,28841226
596000,208512437,29272953
601000,242159022,29696837
606000,270875717,30126899
611000,233041161,30577166
616000,257552560,30976525
621000,268928174,31434823
626000,285441679,31882067
631000,260339475,32337691
636000,249204076,32788328
641000,241568507,33234758
646000,239497935,33665716
651000,249183234,34155932
656000,291407040,34591500
661000,265339423,35070575
666000,264067666,35561170
671000,255455511,36041552
676000,255908253,36487228
681000,295144939,36968084
686000,278699479,37432329
691000,312854614,37926142
696000,266789375,38426041
701000,328220720,38891931
706000,292870285,39422685
711000,337311369,39895790
716000,314432669,40387710
721000,295371395,40917478
726000,336646711,41388226
731000,296067410,41886239
736000,315836988,42399990
741000,309528752,42959894
746000,311341909,43461459
751000,341116785,43943397
756000,315373526,44570193
761000,317968596,45034904
766000,338268474,45538308
771000,369415772,46098051
776000,355734600,46655475
781000,347311754,47112737
786000,370621827,47712559
791000,365796107,48283602
796000,382487617,48777879
801000,318160785,49366897
806000,374338799,49970580
811000,413382836,50484135
816000,396571264,51049013
821000,389267574,42833467
826000,355302547,32148781
831000,320118667,32486039
836000,356038725,32816467
841000,368856469,33118024
846000,316313590,33456729
851000,297512769,33798633
856000,333993137,34114917
861000,294433704,34448785
866000,345442917,34785345
871000,360783368,35099676
876000,284822599,35438491
881000,350795527,35779470
886000,300452358,36108441
891000,295184844,36425949
896000,296589543,36816928
901000,357861239,37130401
906000,353974866,37493382
911000,301271775,37842926
916000,313436595,38192814
921000,348197211,38493506
926000,314269389,38864299
931000,379274303,39219020
936000,299955381,39569722
941000,327798316,39926300
946000,387626337,40285821
951000,384616269,40617833
956000,384429890,41000937
961000,404697938,41365664
966000,357567225,41728685
971000,321118471,42062836
976000,344817069,42476982
981000,354012477,42842701
986000,332850829,43245372
991000,369249881,43562053
996000,347158391,43945144
1001000,345967473,44310804
1006000,369902386,44713881
1011000,349181124,45049812
1016000,390646186,45450441
1021000,374215965,45812911
1026000,355955314,46226808
1031000,376029211,46583607
1036000,351754263,46960331
1041000,357489105,47366301
1046000,393836367,47745351
1051000,371381478,48115057
1056000,396545636,48554996
1061000,451121221,48899113
1066000,401993603,49317781
1071000,423890755,49680495
1076000,419478754,50087029
1081000,466862169,50507892
1086000,414397757,50922095
1091000,418748388,51272491
1096000,449717407,51668229
1101000,403288528,52092115
1106000,424015645,52468371
1111000,432376606,52884318
1116000,444752580,53332013
1121000,446715071,53754080
1126000,459841498,54152062
1131000,441598872,54550054
1136000,442752508,54957236
1141000,406087016,55379613
1146000,539037759,55791011
1151000,446251933,56240213
1156000,401990114,56679569
1161000,430790938,57035670
1166000,463439477,57503166
1171000,417226822,57922580
1176000,434844640,58351040
1181000,447764081,58781576
1186000,469443408,59194267
1191000,453399548,59639409
1196000,522332323,60077782
1201000,566637248,60498577
1206000,543509298,61001813
1211000,504263489,61426947
1216000,463675351,61822244
1221000,454199324,62251708
1226000,486010478,62668820
1231000,485131999,63099908
1236000,498123351,63561192
1241000,454513134,64010998
1246000,460774527,64451356
1251000,512378915,64912297
1256000,478358978,65362102
1261000,488662367,65814039
1266000,492377800,66273716
1271000,475379113,66754225
1276000,497662765,67133904
1281000,521540843,67707843
1286000,504192715,68120712
1291000,564131475,68575961
1296000,572073888,69051927
1301000,501220153,69527312
1306000,491359771,69958768
1311000,506935382,70434890
1316000,517705885,70886497
1321000,508157297,71382746
1326000,496147124,71902721
1331000,499109185,72362764
1336000,546526150,72792729
1341000,504751384,73280067
1346000,522724974,73800293
1351000,527075273,74243600
1356000,535965696,74738820
1361000,539649135,75206358
1366000,519126357,75656955
1371000,533721494,76252031
1376000,607910353,76723350
1381000,574314345,77220663
1386000,562037799,77660978
1391000,605413916,78177918
1396000,597308620,78644273
1401000,563176425,79127009
1406000,604316209,79607869
1411000,722282189,80132180
1416000,630881974,80610368
1421000,669079953,81099948
1426000,614127749,81632109
1431000,606295689,82118980
1436000,633295401,82574567
1441000,601484306,83095866
1446000,623268484,83665757
1451000,627109665,84175356
1456000,616282149,84670724
1461000,608400294,85161089
1466000,641862353,85665451
1471000,647475511,86215253
1476000,728990363,86766200
1481000,758131114,87274867
1486000,616556499,87857947
1491000,766912892,88269907
1496000,745482873,88829913
1501000,736239929,89382719
1506000,683914975,89904455
1511000,772541994,90446935
1516000,725436036,90979571
1521000,616696977,91470717
1526000,687449933,92022886
1531000,627530236,92477867
1536000,725923518,93137226
1541000,666736533,93621764
1546000,637825055,94224063
1551000,662261870,94680873
1556000,685247880,95264113
1561000,623152368,95778444
1566000,688053504,96324396
1571000,630610663,96900100
1576000,690379528,97431124
1581000,703349550,98054389
1586000,699146658,98544777
1591000,751236430,99173840
1596000,701896667,99617604
1601000,650266500,100133838
1606000,763474424,100778445
1611000,904264900,101312540
1616000,758330168,101910942
1621000,775287257,102468500
1626000,720792346,102962168
1631000,778143939,103545016
1636000,697302508,104164900
1641000,686399849,92188910
1646000,557126866,68388846
1651000,562023248,65879917
1656000,565283133,66232306
1661000,553460833,66534794
1666000,546892659,66955069
1671000,555707641,67226976
1676000,566650728,67522558
1681000,549608005,67890968
1686000,583161898,68214888
1691000,600707292,68529687
1696000,594580442,68857282
1701000,637069644,69187562
1706000,729923765,69528207
1711000,685373312,69875310
1716000,567654790,70152243
1721000,579152608,70515929
1726000,592861294,70853735
1731000,571090605,71212867
1736000,572187771,71519143
1741000,564936540,71928805
1746000,614845375,72258481
1751000,577424522,72552546
1756000,596695015,72873620
1761000,607855297,73258284
1766000,614725457,73560679
1771000,620569066,73908442
1776000,589525197,74271795
1781000,643279226,74618001
1786000,640316012,74984016
1791000,641618384,75309836
1796000,664100599,75639105
1801000,629632088,76010475
1806000,628456171,76336369
1811000,614307226,76712583
1816000,613598358,77035491
1821000,703366894,77409344
1826000,638480023,77785120
1831000,604410788,78096262
1836000,649166354,78472386
1841000,643705923,78809159
1846000,674928203,79154929
1851000,647434533,79527676
1856000,631511381,79864730
1861000,660839823,80223128
1866000,688727852,80634430
1871000,626378296,80984059
1876000,684539191,81273072
1881000,647383305,81660274
1886000,640239994,82018185
1891000,684147782,82397930
1896000,678447705,82788688
1901000,655594583,83074107
1906000,671524285,83471399
1911000,666618675,83858861
1916000,666383866,84279064
1921000,707419117,84512212
1926000,748171076,84958091
1931000,697315764,85333952
1936000,762552495,85690747
1941000,857549039,86051686
1946000,726938073,86378528
1951000,707969558,86774532
1956000,685824885,87182245
1961000,709641135,87531499
1966000,717166000,87928439
1971000,714849119,88255445
1976000,748797760,88608214
1981000,708328441,89075353
1986000,829862296,89379786
1991000,785248212,89803522
1996000,756509080,90170583
2001000,796480542,90597607
2006000,733655170,90928732
2011000,782022645,91319432
2016000,694133450,91698759
2021000,730347563,92052882
2026000,759781273,92510178
2031000,713260534,92826538
2036000,748612347,93197884
2041000,718695552,93594101
2046000,757752519,94004566
2051000,744066380,94388660
2056000,751803749,94758343
2061000,853446623,95137410
2066000,717836505,95527781
2071000,727969337,95897775
2076000,766378531,96341681
2081000,731410304,96697123
2086000,765100899,97137941
2091000,769534586,97504777
2096000,774279064,97941176
2101000,774580548,98258997
2106000,747442373,98657900
2111000,753638950,99097826
2116000,805905602,99521676
2121000,777653277,99859615
2126000,763910970,100273930
2131000,802924361,100706900
2136000,851686377,101045776
2141000,931738643,101501900
2146000,805171266,101867731
2151000,777777959,102253724
2156000,799213017,102686148
2161000,784857146,103142344
2166000,817061468,103449860
2171000,766463347,103856770
2176000,815759797,104272610
2181000,845675461,104680250
2186000,785232704,105095491
2191000,817405193,105479045
2196000,808631843,105936487
2201000,785357521,106343960
2206000,918068278,106744481
2211000,811450751,107163816
2216000,816939667,107527455
2221000,785470104,107974080
2226000,797792711,108347106
2231000,858450553,108778244
2236000,816322312,109205215
2241000,856327129,109632271
2246000,849866877,110022331
2251000,818341676,110487566
2256000,848156557,110887159
2261000,820614426,111300922
2266000,916446416,111713775
2271000,889598455,112124638
2276000,869777505,112568558
2281000,846628031,113010404
2286000,864320830,113368823
2291000,974611999,113869144
2296000,888822632,114285071
