sampleSize,value,timing,keycomp
10000,2,16533279,116787
10000,3,13736208,120522
10000,4,15584397,124044
10000,5,12303271,119499
10000,6,6926529,121678
10000,7,6473574,122765
10000,8,7591388,124163
10000,9,6101776,124321
10000,10,7210647,125503
10000,11,5520085,125665
10000,12,4460993,126697
10000,13,5249517,126990
10000,14,4770726,127573
10000,15,5744645,127594
10000,16,3649852,128203
10000,17,3624858,128003
10000,18,4973302,128313
10000,19,3508613,134015
10000,20,4576011,142099
10000,21,4125280,142489
10000,22,3040237,142030
10000,23,4587269,142176
10000,24,3132585,142055
10000,25,4352734,143008
10000,26,7329566,142786
10000,27,4697608,143348
10000,28,3136896,143276
10000,29,4660271,143695
10000,30,3375745,143037
10000,31,3531231,143078
10000,32,5442297,143072
10000,33,4198646,142784
10000,34,6788753,144222
10000,35,4361521,143575
10000,36,5598465,143388
10000,37,3545734,143111
10000,38,6163392,143990
10000,39,3186701,179116
10000,40,6095549,181705
10000,41,3004088,182595
10000,42,6595888,181706
10000,43,3892667,182023
10000,44,5899463,181412
10000,45,2924823,181541
10000,46,4767936,183127
10000,47,4436455,182163
10000,48,6755733,181504
10000,49,3120797,182882
10000,50,5372364,181838
10000,51,2948951,182996
10000,52,6675179,181448
10000,53,5155535,182687
10000,54,5594743,182723
10000,55,4002639,183176
10000,56,5619891,182617
10000,57,3973480,182220
10000,58,5005183,182152
10000,59,4433493,181903
10000,60,5857697,182300
10000,61,3288915,183399
10000,62,3931810,183714
10000,63,4694083,183346
10000,64,3902162,183115
10000,65,5222310,182979
10000,66,3450136,181531
10000,67,4566758,183227
10000,68,3949847,183602
10000,69,4456829,183828
10000,70,4675096,182622
10000,71,4950712,181574
10000,72,5314462,183482
10000,73,4504392,183761
10000,74,4939570,182561
10000,75,6226963,183027
10000,76,4835211,183325
10000,77,4794746,182962
10000,78,4421365,258520
10000,79,5594809,268295
10000,80,4744166,267161
10000,81,6117192,270183
10000,82,4497189,270218
10000,83,4499738,268219
10000,84,3446654,271164
10000,85,5679336,271514
10000,86,6047525,270219
10000,87,5692643,273170
10000,88,6854511,268134
10000,89,6615274,271334
10000,90,5038158,269764
10000,91,6360084,268284
10000,92,6499378,272920
10000,93,5276948,270755
10000,94,7023463,272845
10000,95,4706950,270820
10000,96,6266678,271163
10000,97,6483299,269717
10000,98,4904007,270471
10000,99,6054374,271262
10000,100,7970792,271756
10000,101,8944698,271644
10000,102,6320913,270345
10000,103,5253176,272644
10000,104,4327716,270937
10000,105,5477229,269523
10000,106,7757462,271555
10000,107,4307833,270994
10000,108,5456060,270151
10000,109,5424065,268698
10000,110,6367473,271679
10000,111,4406373,271270
10000,112,4926133,271430
10000,113,4232883,269761
10000,114,6783795,271991
10000,115,4026120,271306
10000,116,5359133,269253
10000,117,3834064,271000
10000,118,5485327,272108
10000,119,3355535,270600
10000,120,4884306,271845
10000,121,3401897,269313
10000,122,2882933,270790
10000,123,4685178,268795
10000,124,2777315,270739
10000,125,3436818,270621
10000,126,4523396,271444
10000,127,3568702,272382
10000,128,4094310,272056
10000,129,3418728,271228
10000,130,4097199,270946
10000,131,4817950,272708
10000,132,2607670,272137
10000,133,4142101,270292
10000,134,4863360,272009
10000,135,3455162,271014
10000,136,4915542,268791
10000,137,3223243,270898
10000,138,4098964,269036
10000,139,4143920,272399
10000,140,3190523,272073
10000,141,4618248,271655
10000,142,3507168,272616
10000,143,4522602,271166
10000,144,3534072,271128
10000,145,4175611,270347
10000,146,3673069,269888
10000,147,2750035,270374
10000,148,4172306,271622
10000,149,4591872,270962
10000,150,4147332,270206
10000,151,5768081,270875
10000,152,4320952,270532
10000,153,4885001,268631
10000,154,2895597,270371
10000,155,4384192,271474
10000,156,4532103,408277
10000,157,7829126,456244
10000,158,5671674,455887
10000,159,5958740,455564
10000,160,5009531,456858
10000,161,6604858,456056
10000,162,5642219,453793
10000,163,6071111,455156
10000,164,6172345,452793
10000,165,3615951,455048
10000,166,3465832,457436
10000,167,4763634,457892
10000,168,8093978,456892
10000,169,4315351,459607
10000,170,5601901,450919
10000,171,6574026,461430
10000,172,6655352,457354
10000,173,6898057,458706
10000,174,6491871,459255
10000,175,4858147,458162
10000,176,9819352,456272
10000,177,6282412,455179
10000,178,5295349,457658
10000,179,6710234,455085
10000,180,5317382,451887
10000,181,8037966,456793
10000,182,10548271,454706
10000,183,5847211,458818
10000,184,7945536,459562
10000,185,7498572,458762
10000,186,8128575,450504
10000,187,6447047,457341
10000,188,6393202,456103
10000,189,7902852,455339
10000,190,6711186,462592
10000,191,7020110,454035
10000,192,8973496,452663
10000,193,7227968,457738
10000,194,6152337,456691
10000,195,7385011,456168
10000,196,6874634,461026
10000,197,5825411,455087
10000,198,7094332,460742
10000,199,6951258,455169
10000,200,6176912,455697
10000,201,7309794,455983
10000,202,8980744,458129
10000,203,8925726,456516
10000,204,6436155,458586
10000,205,9139603,455612
10000,206,8509417,457336
10000,207,11339350,452013
10000,208,11203384,453259
10000,209,7263916,457835
10000,210,7317009,457492
10000,211,5600329,455511
10000,212,6764614,454771
10000,213,7501202,452356
10000,214,7244781,458002
10000,215,6684234,458302
10000,216,5340509,455177
10000,217,4854638,457183
10000,218,6468987,453056
10000,219,4746830,454630
10000,220,7436282,454842
10000,221,4596560,452443
10000,222,5777676,459555
10000,223,4027410,457440
10000,224,7158462,460442
10000,225,6291716,457058
10000,226,5081043,453681
10000,227,6056675,456704
10000,228,7380208,453981
10000,229,5977762,454821
10000,230,7032738,457697
10000,231,5462455,457960
10000,232,4382934,455056
10000,233,4212697,460469
10000,234,3409837,452114
10000,235,3910874,461878
10000,236,3175815,456734
10000,237,6357229,452958
10000,238,5357225,458128
10000,239,6034521,458204
10000,240,5731586,451897
10000,241,4892679,457235
10000,242,5731574,458870
10000,243,5075019,455039
10000,244,5683038,455814
10000,245,4824654,456596
10000,246,5290049,459376
10000,247,4215953,460622
10000,248,5472647,454054
10000,249,3829144,457265
10000,250,4942928,456097
10000,251,4497494,455839
10000,252,4517443,456455
10000,253,5632048,459885
10000,254,4158091,457964
10000,255,6049551,454230
10000,256,3819622,455816
10000,257,5500105,450477
10000,258,4293101,458007
10000,259,5143737,460110
10000,260,4426118,453238
10000,261,6421346,456298
10000,262,3370881,453452
10000,263,6139051,454976
10000,264,4510876,457460
10000,265,5026452,455932
10000,266,5311695,454924
10000,267,5255975,462104
10000,268,7235819,458081
10000,269,6818202,456239
10000,270,8294660,451024
10000,271,6962113,452808
10000,272,4160404,450202
10000,273,4885707,457055
10000,274,5794221,460900
10000,275,6580619,455736
10000,276,9238873,460408
10000,277,6825188,452077
10000,278,7104062,454967
10000,279,6204180,460420
10000,280,4491075,456724
10000,281,4248204,455793
10000,282,6275866,451955
10000,283,7876644,456532
10000,284,7238303,455975
10000,285,10703532,459513
10000,286,9856869,456984
10000,287,7602176,457033
10000,288,8399306,453038
10000,289,8684386,458405
10000,290,7477241,458555
10000,291,8006274,456387
10000,292,5365817,454420
10000,293,4995435,456608
10000,294,6571973,456684
10000,295,5589264,455484
10000,296,4434761,457829
10000,297,4139203,457060
10000,298,5786011,454921
10000,299,5863476,458124
10000,300,3903427,453631
10000,301,4846608,453143
10000,302,4362895,454018
10000,303,5154774,459550
10000,304,3534044,452868
10000,305,3326085,453019
10000,306,4166741,456158
10000,307,3504652,456107
10000,308,3769003,455883
10000,309,4345523,460419
10000,310,4108045,457846
10000,311,4448827,459017
10000,312,4623779,649404
10000,313,6133587,832075
10000,314,5042182,834932
10000,315,5962498,837900
10000,316,5262244,833660
10000,317,6061649,831687
10000,318,6268629,838421
10000,319,6001378,830966
10000,320,5696838,830240
10000,321,6364564,840671
10000,322,5941172,842883
10000,323,5330690,840016
10000,324,6466418,834725
10000,325,4959656,846204
10000,326,5803052,832819
10000,327,5969399,841082
10000,328,6667060,830468
10000,329,6042265,832425
10000,330,6288111,835076
10000,331,5888227,835849
10000,332,6602412,826368
10000,333,6156480,835946
10000,334,6483853,834965
10000,335,6199073,843052
10000,336,6182046,841075
10000,337,5329549,825378
10000,338,6987654,839789
10000,339,5120513,847586
10000,340,5661611,831321
