sampleSize,timing,keycomp
6000,176857807,9119563
11000,645523009,30522569
16000,1514465085,63687852
21000,2200352284,109679572
26000,3476612152,170162085
31000,5115550713,239569952
36000,6392973182,325197903
41000,8224595970,418307896
46000,10837152627,532651536
51000,13022294029,647121802
56000,17160134498,784540875
61000,18274112140,931677397
66000,23315881583,1089244373
71000,26450801088,1260930035
76000,29575903506,1441056977
81000,33447034819,1637741066
86000,35942503615,1845292957
91000,41220726393,2065087352
96000,46951989041,2305662863
101000,51692671559,2546925551
106000,57327475790,2805881705
111000,64372819869,3077085694
116000,69503229878,3372371653
121000,75560582405,3658147550
126000,80984649533,3977327115
131000,87241397385,4304351381
136000,93621237272,4619521814
141000,100815872123,4969008208
146000,107476683940,5328665617
151000,114711016511,5700619609
156000,122944502489,6071737485
161000,131893496426,6474621438
166000,140902751363,6898019715
171000,154407278572,7291659928
176000,160015714192,7765626173
181000,172202630489,8178900278
186000,180563749508,8654334329
191000,185881434914,9124085081
196000,202059953493,9605795232
201000,222985381827,10093417256
206000,235726408691,10593751493
211000,240171440435,11107361201
216000,245416682529,11658296496
221000,258629020449,12206438621
226000,283931203995,12759620529
231000,287019197602,13342985602
236000,299331312365,13899888170
241000,307561169228,14494054081
246000,342578263162,15082171545
251000,357738790147,15756370780
256000,365556018252,16389053124
261000,374165148775,17026805814
266000,386798461721,17701142672
271000,392388346328,18426293730
276000,404903115239,19053944844
281000,413108950867,19711496157
286000,421411741311,20419121566
291000,435905954480,21151045028
296000,448725863377,21903197260
301000,461900584301,22647693837
306000,470350549726,23403202604
311000,492862821942,24177526996
316000,514145961735,25008802305
321000,517066933328,25740684359
326000,541690092593,26592859448
331000,474822074933,27368395851
336000,255188541261,28164068042
341000,263662464403,29053510126
346000,271518490985,29923725842
351000,279192577357,30800791238
356000,287205830184,31665799439
361000,295792667644,32547397869
366000,304419388593,33538516394
371000,310588613612,34380097165
376000,319089962033,35379700793
381000,325637430867,36222205371
386000,334700570303,37227792411
391000,342801151760,38258629218
396000,350375876656,39166405013
401000,359751800035,40161971772
406000,367574802626,41182685472
411000,377699606314,42233424561
416000,386849872622,43320661116
421000,394500580206,44259525790
426000,404030019594,45318960167
431000,412880605953,46386948681
436000,238870678997,47525659316
441000,219078455750,48658441085
446000,223193535436,49642026367
451000,228805122289,50846626020
456000,234827455762,51988627296
461000,240041111071,53193273462
466000,244374823881,54316836622
471000,249664711777,55436137751
476000,254872982456,56594413699
481000,261335977936,57893647411
486000,265945872265,59098106123
491000,271553400453,60303096818
496000,277035161261,61517816932
501000,281994950419,62791375112
506000,288012344252,64011884245
511000,292872614905,65293585182
516000,299442735064,66596921407
521000,305160930824,67937564137
526000,312007905061,69333684261
531000,316642018335,70447386015
536000,322317876576,71809327733
541000,329161551902,73271530576
546000,334923800413,74583873589
551000,340237694886,75829195205
556000,347433700761,77324841382
561000,354252078837,78711195821
566000,360193420493,80146901033
571000,366138807594,81436729662
576000,372292797882,82815126660
581000,379670162451,84352199327
586000,386981963134,85885284322
591000,392835117382,87290089816
596000,398991334510,88807720504
601000,406829127975,90309450587
606000,412942411355,91720410660
611000,420040964031,93422411370
616000,428521288432,94987415446
621000,434243315451,96404154592
626000,441823213434,98023217765
631000,447997848378,99617398588
636000,454861982267,101043366423
641000,463190396814,102804545244
646000,493973317252,104362879981
651000,490906888946,105982005652
