sampleSize,timing,keycomp
6000,6242299,79658
11000,15106058,156019
16000,23950577,235346
21000,35452962,317469
26000,56816287,400916
31000,53135667,485675
36000,64067766,571992
41000,69669025,659265
46000,75863109,747611
51000,108829798,835758
56000,101078359,925230
61000,128548701,1015158
66000,163294645,1105432
71000,151594511,1197022
76000,215935345,1289551
81000,202997109,1382036
86000,187381775,1475015
91000,246263576,1568045
96000,228286721,1661371
101000,225459523,1755126
106000,213453230,1849888
111000,236078781,1943957
116000,223175771,2038537
121000,206297711,2133613
126000,215762828,2228578
131000,248421360,2323097
136000,271929597,2420323
141000,238938768,2517835
146000,299259804,2614313
151000,319387912,2711997
156000,307338318,2809345
161000,291438967,2906937
166000,330836090,3004674
171000,308298040,3102411
176000,352609175,3199913
181000,365080491,3298675
186000,328051625,3396852
191000,387412766,3494794
196000,419095729,3593764
201000,430141802,3692608
206000,408426044,3791889
211000,420148947,3891274
216000,480682963,3990300
221000,470113308,4089998
226000,471028259,4189694
231000,436824038,4289158
236000,495892395,4388694
241000,482137055,4489242
246000,505120041,4588882
251000,503874165,4688213
256000,530707357,4788749
261000,521334171,4888925
266000,519843981,4990281
271000,525981139,5091801
276000,531623723,5194423
281000,593975599,5296529
286000,550265149,5398571
291000,621838010,5500277
296000,556213000,5603169
301000,558234902,5705304
306000,648067316,5807742
311000,646341313,5910620
316000,649926891,6012208
321000,601454915,6114795
326000,682196191,6217205
331000,639909265,6320624
336000,725591309,6423030
341000,746613600,6526380
346000,693611068,6629355
351000,721991600,6732087
356000,752312626,6835453
361000,751043940,6938560
366000,769469542,7041619
371000,760299095,7145419
376000,822468354,7247909
381000,784838412,7351964
386000,786623075,7454701
391000,844659627,7558245
396000,983057430,7662869
401000,1050145790,7766342
406000,814858272,7870304
411000,869254745,7975361
416000,829497830,8079291
421000,865371653,8183537
426000,927616367,8288110
431000,894626879,8392721
436000,949892408,8496770
441000,967107588,8601168
446000,946063817,8705629
451000,986194864,8811033
456000,877460691,8914637
461000,853516713,9019478
466000,1007441457,9123507
471000,1063156302,9228855
476000,953519748,9333281
481000,981732160,9438683
486000,1013372296,9543478
491000,964581103,9647640
496000,934310229,9753204
501000,1038332317,9857604
506000,1054022785,9963240
511000,994230797,10067547
516000,1208798692,10173108
521000,1098956978,10278973
526000,1181440302,10384108
531000,1176993675,10490518
536000,1137907660,10597506
541000,1117950946,10705086
546000,1177625100,10812082
551000,1370699900,10919164
556000,1438499499,11026808
561000,1196728928,11133342
566000,1161949644,11239479
571000,1176010306,11347461
576000,1193514577,11454277
581000,1163024061,11560633
586000,1230288540,11668766
591000,1362086796,11776237
596000,1153116955,11882687
601000,1121684057,11991398
606000,1203150606,12098456
611000,1317666534,12205533
616000,1255460958,12312856
621000,1239017203,12420788
626000,1186594232,12528256
631000,1234064632,12635173
636000,1331525933,12741977
641000,1463703553,12849733
646000,1353310138,12957680
651000,1473757339,13065513
656000,1425797901,13173700
661000,1377345241,13280778
666000,1438879730,13388519
671000,1462255436,13497305
676000,1524327435,13604847
681000,1569016217,13713160
686000,1566651242,13821782
691000,1661903523,13928904
696000,1455995670,14036761
701000,1365685396,14144408
706000,1425084452,14252633
711000,1465901310,14360997
716000,1476412994,14469041
721000,1516988003,14576814
726000,1536626668,14685904
731000,1587767122,14794133
736000,1474923693,14902038
741000,1462858572,15009969
746000,1513627606,15117766
751000,1597176037,15227145
756000,1519900537,15334875
761000,1618834091,15443609
766000,1539703081,15551577
771000,1646035982,15660048
776000,1725645264,15768480
781000,1545688666,15877072
786000,1591078368,15985207
791000,1614318096,16094091
796000,1623934062,16203335
801000,1773025424,16313201
806000,1905396404,16421679
811000,1819032354,16530176
816000,1853222875,16640964
821000,1964121570,16749124
826000,1811006669,16859685
831000,1743856796,16969046
836000,1781666913,17079251
841000,1761000666,17187101
846000,1793118551,17296395
851000,1786867026,17405351
856000,1743521480,17515744
861000,2013318695,17624495
866000,1803727137,17735022
871000,1823037206,17843906
876000,1781784824,17953633
881000,1721736257,18062023
886000,1785852884,18172405
891000,1743767338,18281112
896000,1796780686,18389721
901000,1886721500,18499597
906000,1771399919,18610781
911000,1868596365,18719279
916000,1856742788,18827636
921000,1872131999,18938943
926000,1863728759,19048886
931000,1909590665,19157993
936000,2017872093,19268289
941000,2116241761,19377893
946000,2045939203,19487210
951000,1892836395,19597734
956000,1839452323,19706919
961000,1877811630,19816007
966000,1847527550,19927287
971000,1918819825,20036853
976000,1951550018,20146531
981000,1920101039,20256856
986000,1961189590,20366212
991000,1947504171,20476599
996000,2014292865,20586476
1001000,2024307037,20696448
1006000,2036362436,20806628
1011000,1925476963,20916426
1016000,1981086895,21025884
1021000,2176014037,21136624
1026000,2102164220,21246008
1031000,2163217745,21355908
1036000,2037204321,21465638
1041000,2077989537,21575865
1046000,2072921465,21685718
1051000,2149694785,21797754
1056000,2107354393,21909320
1061000,2278859288,22021505
1066000,2062691933,22132298
1071000,2083852020,22245109
1076000,2228525137,22357508
1081000,2241681515,22470147
1086000,2228952787,22580198
1091000,2228779672,22693218
1096000,2483264024,22805719
1101000,2294257919,22916992
1106000,2266755708,23029650
1111000,2466516537,23141739
1116000,2362478882,23254291
1121000,2202730490,23366022
1126000,2213230517,23478491
1131000,2376582759,23591394
1136000,2326242736,23701643
1141000,2349463476,23814335
1146000,2437583632,23926548
1151000,2410221086,24039332
1156000,2555647374,24150526
1161000,2565636596,24263674
1166000,2287469508,24375731
1171000,2310336547,24487921
1176000,2450935387,24599282
1181000,2403457762,24711148
1186000,2640819939,24823014
1191000,2454804255,24936529
1196000,2503059110,25048373
1201000,2434964742,25161166
1206000,2605904095,25273563
1211000,2528048350,25385124
1216000,2401446074,25498498
1221000,2434644186,25610606
1226000,2694716101,25722848
1231000,2502842044,25836116
1236000,2588209286,25947150
1241000,2560527806,26062189
1246000,2545136160,26174222
1251000,2700718399,26284889
1256000,2899272316,26397479
1261000,2525340565,26510402
1266000,2540360215,26622858
1271000,2580359724,26734316
1276000,2763128032,26847104
1281000,2874117413,26959451
1286000,2795660665,27071920
1291000,2732716045,27184557
1296000,2594338851,27297656
1301000,2853011031,27410297
1306000,2729425223,27522070
1311000,2699148703,27634789
1316000,2657509025,27749087
1321000,2741867314,27860952
1326000,2618498718,27974723
1331000,2825002600,28087935
1336000,2874878649,28199938
1341000,3023869487,28312557
1346000,2948182689,28426320
1351000,3002879347,28539937
1356000,2926589014,28651856
1361000,2790597807,28764569
1366000,2883858918,28877213
1371000,2951229934,28991451
1376000,2887357121,29105368
1381000,2842908396,29217254
1386000,2804416000,29330930
1391000,2993060578,29443302
1396000,2886486987,29556476
1401000,2914627999,29668697
1406000,2862994561,29783780
1411000,2965485861,29895419
1416000,3024039135,30008271
1421000,2966394215,30122696
1426000,2977271849,30236572
1431000,3033644149,30347848
1436000,2982409639,30460620
1441000,3047896761,30574721
1446000,3115561086,30686862
1451000,3009723445,30801790
1456000,3047705499,30914434
1461000,3070153693,31026505
1466000,3192422329,31140412
1471000,3045839105,31253337
1476000,3124588495,31365394
1481000,3162631764,31481067
1486000,2977667309,31594695
1491000,3037126402,31706555
1496000,3245935657,31820727
1501000,3058082827,31933886
1506000,3086648795,32046550
1511000,3147806338,32159179
1516000,3125934718,32272711
1521000,3268760763,32386244
1526000,3099169044,32499821
1531000,3213722391,32614173
1536000,3103150941,32727300
1541000,3226806807,32840998
1546000,3409213808,32952135
1551000,3227008645,33066728
1556000,3185668600,33179112
1561000,3531840572,33292981
1566000,3395114825,33405895
1571000,3221441525,33520044
1576000,3204668928,33632888
1581000,3166129728,33747892
1586000,3288431711,33860883
1591000,3560250612,33977035
1596000,3432794356,34090587
1601000,3311439965,34206310
1606000,3189810013,34319042
1611000,3252313637,34432147
1616000,3403272939,34546187
1621000,3405153144,34660755
1626000,3354613208,34775135
1631000,3321038689,34889758
1636000,3586031960,35005599
1641000,3503642468,35119992
1646000,3468390562,35233365
1651000,3650175574,35347696
1656000,3585275417,35461933
1661000,3601188587,35575415
1666000,3531640065,35691112
1671000,3370191463,35805120
1676000,3482229804,35919849
1681000,3713182399,36032871
1686000,3447970264,36147815
1691000,3417967915,36262864
1696000,3487083351,36377613
1701000,3550750587,36489835
1706000,3540986494,36604732
1711000,3546560369,36718508
1716000,3528651820,36833236
1721000,3508190051,36948033
1726000,3794044052,37062877
1731000,3553307759,37176660
1736000,3514954443,37290706
1741000,3731005008,37405636
1746000,3683691628,37519803
1751000,3832366457,37635228
1756000,3531305910,37749835
1761000,3581266090,37864424
1766000,3876810255,37978551
1771000,3638927732,38094564
1776000,3722201438,38208319
1781000,4179580794,38320384
1786000,3845933437,38435235
1791000,3797911805,38551073
1796000,3891333222,38664019
1801000,3735584501,38780487
1806000,3777315450,38893080
1811000,3786309938,39007785
1816000,3747907563,39123147
1821000,3747904721,39236907
1826000,3768419463,39353660
1831000,3675783674,39467897
1836000,3956159542,39581082
1841000,3862663569,39696121
1846000,3914400402,39810866
1851000,3887478336,39925972
1856000,3796606929,40040460
1861000,3734364672,40157225
1866000,3772009563,40269267
1871000,3777729679,40385415
1876000,3952770247,40500480
1881000,3914165150,40614541
1886000,4057776618,40729350
1891000,3802956121,40844079
1896000,3910398345,40958499
1901000,3943231410,41072966
1906000,3810969663,41188421
1911000,3886151848,41305061
1916000,4087803194,41417886
1921000,3907696926,41532835
1926000,4074025166,41647803
1931000,3891896125,41761499
