sampleSize,timing,keycomp
1000,318399,9666
6000,2338309,73121
11000,4589590,143752
16000,6489661,218165
21000,11431471,294250
26000,13330662,371832
31000,15788022,451835
36000,19435542,535501
41000,27409643,614586
46000,30619736,696234
51000,32075174,778641
56000,54773223,863028
61000,37875238,948663
66000,39823356,1035931
71000,45313949,1125513
76000,54594710,1211558
81000,61892213,1294423
86000,75362902,1380346
91000,72788851,1466888
96000,65434698,1552922
101000,62057152,1641416
106000,66704383,1730215
111000,71653241,1819518
116000,77214728,1910244
121000,73299740,2000649
126000,79088798,2092149
131000,81597726,2184147
136000,81521485,2279142
141000,82037819,2373132
146000,86663996,2468073
151000,95097683,2557466
156000,106647612,2645940
161000,109471964,2733916
166000,119432978,2823247
171000,120874707,2914490
176000,128479954,3005350
181000,120023347,3097366
186000,121858165,3188780
191000,128555534,3279638
196000,128506015,3372505
201000,130500430,3465935
206000,125562800,3559819
211000,122794760,3653898
216000,129070841,3747403
221000,130747086,3841547
226000,137277662,3935653
231000,133213831,4032131
236000,141000973,4128609
241000,144850009,4225281
246000,143605536,4322169
251000,150690466,4418380
256000,150320745,4515673
261000,154245470,4612587
266000,151472419,4710450
271000,169121015,4810608
276000,162553112,4910060
281000,171178773,5009079
286000,166737006,5108029
291000,176417612,5207973
296000,171656734,5307132
301000,174189241,5397388
306000,192254029,5492907
311000,207414557,5584002
316000,203452678,5676941
321000,209310781,5769887
326000,232775449,5863229
331000,237375263,5958416
336000,233131091,6054874
341000,245790954,6151090
346000,241203420,6246256
351000,242158328,6343847
356000,241194730,6440260
361000,233186826,6537473
366000,241284864,6634014
371000,254420455,6730728
376000,240195559,6827364
381000,247502595,6922539
386000,256254380,7019402
391000,263588805,7116749
396000,264358779,7215212
401000,257764247,7314177
406000,302682370,7413252
411000,270164392,7511656
416000,258574784,7611929
421000,303291371,7709568
426000,283765629,7809621
431000,271562838,7908193
436000,264425434,8007749
441000,274636877,8107008
446000,312584102,8204636
451000,291547864,8304374
456000,272201887,8403951
