sampleSize,timing,keycomp
6000,5876928,79804
11000,13245081,155949
16000,19279308,235300
21000,28715856,317442
26000,39152718,401055
31000,43034444,485602
36000,71723422,571792
41000,71584652,659381
46000,76899190,747505
51000,84307345,836115
56000,106193220,925263
61000,95382170,1015037
66000,97709246,1105404
71000,101719913,1197330
76000,121223834,1289768
81000,123163434,1382266
86000,128203430,1475014
91000,137362292,1568034
96000,142638905,1661238
101000,154348251,1755162
106000,167216313,1849327
111000,172884126,1944275
116000,180395635,2038862
121000,177129567,2133072
126000,173626124,2228179
131000,190006809,2323199
136000,190826743,2420129
141000,205834989,2517126
146000,219963164,2614653
151000,234817877,2711812
156000,226377680,2809148
161000,231476744,2906597
166000,248772976,3004255
171000,254167296,3102215
176000,269045383,3200611
181000,266814517,3298792
186000,265157620,3396727
191000,283185547,3495076
196000,286726211,3593542
201000,288574637,3692537
206000,293034952,3791780
211000,301035056,3891146
216000,321361760,3990290
221000,330704322,4089662
226000,327993230,4189567
231000,322902802,4289221
236000,335347119,4388902
241000,342177412,4489001
246000,351038946,4588588
251000,355385242,4688433
256000,356038993,4788344
261000,360798545,4888714
266000,378901157,4989859
271000,427347785,5091850
276000,424158214,5193677
281000,433192864,5296184
286000,417869228,5398424
291000,441644590,5500694
296000,442530693,5602592
301000,476480002,5705180
306000,453712951,5807701
311000,469438694,5909614
316000,454075677,6012041
321000,454611438,6114883
326000,468503339,6217809
331000,463684250,6320409
336000,497984412,6423366
341000,513276645,6526246
346000,532029816,6629435
351000,534689436,6732463
356000,527268024,6834500
361000,560486483,6938743
366000,563877813,7041487
371000,547762200,7145150
376000,563322043,7248155
381000,554671873,7351975
386000,589691080,7455333
391000,583213067,7558192
396000,581007321,7661998
401000,626069822,7766570
406000,611429234,7870844
411000,609345429,7975169
416000,611702136,8079132
421000,636000645,8183111
426000,607793489,8288067
431000,627165721,8391537
436000,646531702,8496577
441000,646126596,8601506
446000,638242667,8705513
451000,675355303,8810219
456000,648883752,8914566
461000,653513740,9018580
466000,695001914,9124366
471000,729061084,9228511
476000,736748795,9333883
481000,696563696,9438139
486000,662999678,9543193
491000,725923398,9648532
496000,759530161,9752798
501000,751300191,9857828
506000,738415039,9963275
511000,724639996,10068686
516000,763582901,10172835
521000,761061107,10277837
526000,775420461,10384059
531000,789932565,10491242
536000,762350595,10598064
541000,787807786,10704254
546000,782903983,10812097
551000,800013601,10918893
556000,810531980,11026227
561000,803864162,11133292
566000,853106776,11240766
571000,904328249,11347062
576000,1048732389,11454498
581000,900522540,11561846
586000,853751747,11668972
591000,930710875,11775432
596000,871463925,11883140
601000,900323900,11990289
606000,908045483,12097548
611000,927442515,12205723
616000,983296345,12312524
621000,972124988,12420314
626000,1000398447,12528021
631000,953747393,12635331
636000,1002616948,12742605
641000,980106394,12850411
646000,1012187062,12958705
651000,1013918824,13065467
656000,1021251779,13173556
661000,1009796609,13280768
666000,1036080369,13389009
671000,1016479177,13496162
676000,1069094805,13604705
681000,1035711248,13713099
686000,1129760784,13821180
691000,1061866921,13928488
696000,1066798282,14036853
701000,1062302024,14145805
706000,1096296412,14253368
711000,1074077749,14361529
716000,1058130962,14468485
721000,1044560941,14577287
726000,1055349370,14684712
731000,1037193405,14793982
736000,1061855389,14902624
741000,1045706774,15010726
746000,1087121556,15118037
751000,1085906011,15227306
756000,1105219275,15334978
761000,1077198940,15443296
766000,1097831691,15552154
771000,1092276661,15660587
776000,1121280010,15768439
781000,1097969351,15877377
786000,1099550023,15985577
791000,1120648436,16093932
796000,1131774307,16202650
801000,1142295428,16313671
806000,1157243299,16421897
811000,1092800985,16530866
816000,1214009879,16639610
821000,1141390640,16750489
826000,1229472599,16859716
831000,1206691996,16968695
836000,1201924225,17077389
841000,1230921267,17186790
846000,1172112361,17296960
851000,1254748436,17405917
856000,1214258678,17514838
861000,1226698974,17624168
866000,1236668303,17734087
871000,1220795963,17843951
876000,1264537102,17952670
881000,1327727621,18062265
886000,1263007842,18171484
891000,1267456242,18280959
896000,1265555110,18390478
901000,1277179659,18500479
906000,1246579287,18609825
911000,1258933300,18719261
916000,1319235923,18828644
921000,1247148998,18939207
926000,1283760961,19048197
931000,1299791326,19158537
936000,1307595903,19267416
941000,1332419739,19376786
946000,1315727534,19487521
951000,1311573188,19597234
956000,1313595397,19707472
961000,1333217543,19818277
966000,1408616177,19927225
971000,1360995496,20037276
976000,1595113939,20146469
981000,1519535428,20256076
986000,1356611832,20366292
991000,1377551542,20476121
996000,1371250763,20586399
1001000,1368385282,20696665
1006000,1391694504,20806305
1011000,1427167809,20916322
1016000,1380263646,21026121
1021000,1404436161,21134564
1026000,1407177874,21246456
1031000,1417009763,21356091
1036000,1454931004,21466637
1041000,1461624991,21576273
1046000,1501599554,21685898
1051000,1499969642,21798251
1056000,1490437230,21909617
1061000,1466169713,22020740
1066000,1538016973,22132638
1071000,1565843333,22245920
1076000,1582956597,22357300
1081000,1602822503,22469321
1086000,1572639940,22581376
1091000,1576984782,22693763
1096000,1529743298,22805761
1101000,1567758494,22916060
1106000,1639383838,23029771
1111000,1587008056,23141630
1116000,1576980166,23253995
1121000,1551662492,23366188
1126000,1611019403,23477474
1131000,1704999280,23590063
1136000,1593257804,23701715
1141000,1642044722,23813812
1146000,1644010410,23926221
1151000,1617149025,24037659
1156000,1620545424,24151840
1161000,1757118062,24263149
1166000,1785186161,24375508
1171000,1759066712,24487124
1176000,1707453065,24599580
1181000,1807606981,24711842
1186000,1752082454,24824932
1191000,1694493959,24935598
1196000,1727154767,25049172
1201000,1767974095,25160672
1206000,1761482866,25273683
1211000,1733705894,25385486
1216000,1798011224,25498658
1221000,1802750907,25611545
1226000,1812447705,25722584
1231000,1824473814,25835692
1236000,1820959983,25948145
1241000,1817046037,26059749
1246000,1848790807,26172460
1251000,1813062152,26283903
1256000,1913068846,26396701
1261000,1964916869,26510438
1266000,1998477714,26622198
1271000,2365372411,26735955
1276000,2085993781,26847843
1281000,2216915441,26960624
1286000,2111179041,27072170
1291000,2044786699,27184633
1296000,1950232394,27297033
1301000,1889334886,27410355
1306000,1906703600,27523673
1311000,1990520223,27634296
1316000,1983572598,27748128
1321000,1976018661,27860484
1326000,1943819174,27974275
1331000,1971280109,28088120
1336000,1935275986,28200179
1341000,1969084048,28312291
1346000,2218582257,28425528
1351000,1999291788,28538825
1356000,2042291723,28652910
1361000,2052272468,28765760
1366000,2043309867,28877299
1371000,1997429506,28991554
1376000,2049563601,29103920
1381000,2071679054,29217565
1386000,2051829674,29330462
1391000,2194005321,29442322
1396000,2060893373,29556308
1401000,2087505724,29668518
1406000,2135793403,29783454
1411000,2155034007,29894718
1416000,2200514127,30008818
1421000,2164741122,30120182
1426000,2195342145,30233828
1431000,2038316344,30348806
1436000,2086085253,30462695
1441000,2225795251,30574116
1446000,2161175491,30687451
1451000,2277421514,30802325
1456000,2106619741,30914799
1461000,2152607302,31027076
1466000,2151890379,31139738
1471000,2212962634,31252655
1476000,2161187240,31366313
1481000,2198164539,31480909
1486000,2237610469,31593259
1491000,2172196501,31707394
