sampleSize,timing,keycomp
10000000,7214517767,229601042
10000000,7252590226,229593999
10000000,7422367439,229597384
10000000,8063488287,229596155
10000000,7285595877,229596763
10000000,7603391694,229599385
10000000,7333593384,229598930
10000000,7741211393,229593849
10000000,7935157837,229597686
10000000,7489411670,229603448
10000000,7275401411,229599383
10000000,7395555766,229595461
10000000,7236303219,229597811
10000000,7397734111,229608685
10000000,7264787586,229592576
10000000,7456702521,229597988
10000000,7483067674,229602823
10000000,7621774660,229598270
10000000,7676552837,229603167
