sampleSize,timing,keycomp
3000,62042249,2277484
5000,175137158,6329143
7000,329112509,12203567
9000,745203310,20295833
11000,895886941,30167786
13000,1089558508,42044930
15000,1758475172,56270013
17000,2514393572,72700230
19000,2981494802,89910354
21000,3137913769,110052865
23000,3899947561,130941118
25000,4379217102,156727839
27000,4925945654,181987996
29000,4979715741,210305021
31000,5927323733,240048755
33000,7087269167,271635594
35000,7381110865,306706566
37000,8249472579,343945488
39000,8922410863,378997899
41000,11126096245,420488764
43000,10889135759,460973136
45000,13502148289,506910075
47000,13385046732,551898919
49000,15132062711,598284563
51000,16085658959,652309441
53000,20390511073,700840663
55000,18757678077,755839389
57000,19383160796,813066287
59000,21036292863,869745268
61000,21664626459,935384616
63000,24695542394,989082983
65000,34598281177,1053758200
67000,33910964440,1122101565
69000,35515655701,1191158283
71000,34669731079,1258289787
73000,36575231421,1338108589
75000,39063802702,1403104059
77000,39672784263,1487097578
79000,43731703156,1567902281
81000,44309699914,1639337374
83000,46786041324,1717900840
85000,49076960141,1807920014
87000,49411544368,1890085452
89000,53141830696,1979366715
91000,50888955700,2076473204
93000,62692981530,-2128282818
95000,80231342175,-2042906305
97000,88396770631,-1943888259
99000,91742480652,-1832690650
101000,94359335429,-1741526860
103000,90223023373,-1642048543
105000,100329161530,-1539128530
107000,100841244843,-1425891549
