sampleSize,timing,keycomp
10000000,15449908381,240098672
10000000,16142058139,240100338
10000000,15872986429,240102702
10000000,16363911673,240101846
10000000,15443901057,240101161
10000000,15484755245,240102356
10000000,15319577291,240100170
10000000,15771205738,240099037
10000000,14552544911,240104037
10000000,11864112252,240102799
10000000,11212191140,240101979
10000000,12078489378,240100514
10000000,12796899057,240101634
10000000,11825667681,240101601
10000000,11926317751,240100438
10000000,12825211440,240102438
10000000,12324527760,240103911
10000000,11344227241,240103448
10000000,10821557907,240103591
